1730588846.105114 server started (63221): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1730588846.105152 on Darwin 24.0.0 Darwin Kernel Version 24.0.0: Tue Sep 24 23:37:36 PDT 2024; root:xnu-11215.1.12~1/RELEASE_ARM64_T6020
1730588846.105162 using libevent 2.1.12-stable select
1730588846.105172 using utf8proc 2.9.0
1730588846.105179 using ncurses 6.5 20240427
1730588846.105232 input_key_build: 0x10e003 (PasteStart) is \033[200~
1730588846.105240 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1730588846.105258 input_key_build: 0x10e195 (F1) is \033OP
1730588846.105264 input_key_build: 0x10e196 (F2) is \033OQ
1730588846.105270 input_key_build: 0x10e197 (F3) is \033OR
1730588846.105276 input_key_build: 0x10e198 (F4) is \033OS
1730588846.105281 input_key_build: 0x10e199 (F5) is \033[15~
1730588846.105287 input_key_build: 0x10e19a (F6) is \033[17~
1730588846.105292 input_key_build: 0x10e19b (F7) is \033[18~
1730588846.105297 input_key_build: 0x10e19c (F8) is \033[19~
1730588846.105303 input_key_build: 0x10e19d (F9) is \033[20~
1730588846.105308 input_key_build: 0x10e19e (F10) is \033[21~
1730588846.105314 input_key_build: 0x10e19f (F11) is \033[23~
1730588846.105319 input_key_build: 0x10e1a0 (F12) is \033[24~
1730588846.105324 input_key_build: 0x10e1a1 (IC) is \033[2~
1730588846.105330 input_key_build: 0x10e1a2 (DC) is \033[3~
1730588846.105335 input_key_build: 0x10e1a3 (Home) is \033[1~
1730588846.105340 input_key_build: 0x10e1a4 (End) is \033[4~
1730588846.105346 input_key_build: 0x10e1a5 (NPage) is \033[6~
1730588846.105351 input_key_build: 0x10e1a6 (PPage) is \033[5~
1730588846.105356 input_key_build: 0x10e1a7 (BTab) is \033[Z
1730588846.105363 input_key_build: 0x10e1a8 (Up) is \033[A
1730588846.105369 input_key_build: 0x10e1a9 (Down) is \033[B
1730588846.105375 input_key_build: 0x10e1aa (Left) is \033[D
1730588846.105380 input_key_build: 0x10e1ab (Right) is \033[C
1730588846.105386 input_key_build: 0x10e1ac (KP/) is /
